ticker,trailing_eps,book_value_per_share,pe_ratio,pb_ratio,roe_pct,profit_margin_pct,debt_to_equity,dividend_yield_pct,market_cap
ABUK,4.15,18.93,19.7,4.32,21.9,,,,113013589483.2
ACGC,0.04,7.3,5.16,1.15,0.52,,,,2224453400.4
ADIB,10.69,26.09,2.02,0.92,40.98,,,,53160000000.0
ALCN,2.02,2.58,8.79,4.78,78.36,,,,89832130020.0
AMER,0.18,1.06,31.7,1.1,16.97,,,,1904886562.4
AMOC,0.46,3.43,5.17,1.67,13.34,,,,10732365000.0
ARCC,8.61,9.75,4.29,4.12,88.27,,,,20224699980.0
ASCM,13.47,52.85,20.75,0.92,25.48,,,,2261500000.0
BINV,1.4,25.5,5.08,0.99,5.48,,,,8734511440.0
BIOC,3.26,23.89,56.63,1.56,13.67,,,,5757468948.0
BTFH,0.26,0.0,48857.14,1576.04,12192.19,,,,32690226179.2
CCAP,1.17,9.69,0.59,0.26,12.05,,,,15342575165.37
CERA,0.04,0.62,18.74,2.23,5.88,,,,1250625000.0
CIEB,5.98,14.78,4.41,1.29,40.44,,,,30025000000.0
CIRA,1.29,2.97,11.06,4.82,43.6,,,,11154606820.5
CLHO,0.69,2.26,16.46,4.34,30.65,,,,20713072128.99
COMI,21.77,57.67,2.75,1.52,37.75,,,,423777438000.0
CSAG,11.56,5.17,66.39,6.43,223.43,,,,9114000000.0
DOMT,1.32,5.72,11.66,5.1,23.16,,,,7034130418.55
DSCW,0.23,0.81,13.38,4.09,28.01,,,,5574331715.68
EAST,2.17,4.67,7.23,5.43,46.46,,,,119940000000.0
EFIC,28.36,30.62,9.2,10.09,92.61,,,,21221000000.0
EFID,1.69,3.0,6.33,2.29,56.51,,,,41300805704.0
EFIH,0.57,2.08,22.37,6.15,27.51,,,,72106666673.6
EGBE,5.0,18.52,2.6,0.71,26.98,,,,194350411.15
EGCH,1.55,7.49,1.44,0.97,20.74,,,,24136934837.85
EGTS,3.52,0.58,10.09,22.08,611.05,,,,14038500000.0
ELEC,0.04,1.15,63.86,2.67,3.71,,,,7389195031.79
EMFD,0.43,11.87,3.81,0.79,3.64,,,,58717898759.52
ETEL,3.42,26.9,6.65,1.25,12.73,,,,160806144720.0
ETRS,0.35,4.23,74.84,1.53,8.25,,,,1196999375.0
EXPA,5.47,20.14,3.77,1.01,27.14,,,,23759200000.0
FAIT,21.86,183.11,2.89,0.15,11.94,,,,7500242145.6
FWRY,0.59,1.45,15.24,6.59,40.44,,,,67449160231.2
GBCO,2.77,25.01,5.81,0.92,11.06,,,,29297645000.0
HDBK,410.26,63.01,2.44,1.45,651.15,,,,81283587000.0
HELI,0.49,6.02,3.95,1.37,8.07,,,,8370984204.0
HRHO,2.59,23.33,10.83,0.94,11.09,,,,41236000058.5
IRON,0.0,6.93,,1.74,0.0,,,,33555562749.3
JUFO,2.04,7.91,21.39,3.68,25.83,,,,27394887886.2
LCSW,2.65,48.57,5.45,0.53,5.46,,,,2084000000.0
MASR,0.91,4.69,4.53,0.88,19.46,,,,13215650000.0
MFPC,0.0,26.44,,,,,,,137097104571.4
MICH,5.16,14.38,6.55,2.11,35.89,,,,3842353125.0
MISR,0.06,0.47,311.12,11.32,13.18,,,,47661500.0
MOIL,0.03,0.03,3.43,9.83,106.98,,,,203620735.42
MTIE,0.62,2.37,10.34,2.97,26.18,,,,15899276746.16
OBRI,2.31,7.06,17.81,2.81,32.67,,,,1509200000.0
OCDI,3.9,35.53,5.52,1.71,10.97,,,,28235529533.4
OFH,0.51,0.63,131.46,1.18,80.59,,,,3033556568.33
OLFI,2.78,4.2,9.13,7.02,66.24,,,,8936000000.0
ORAS,4.04,5.32,,,75.95,,,,67733873664.0
ORHD,4.5,10.24,4.77,2.1,43.97,,,,35157726565.3
ORWE,3.19,27.37,12.07,0.84,11.66,,,,15403884326.88
PHAR,3.01,31.28,8.32,1.43,9.63,,,,14388115245.0
PHDC,1.54,5.9,5.6,1.46,26.03,,,,31916642170.68
POUL,8.28,11.23,4.55,1.84,73.76,,,,17124307200.0
RAYA,0.49,1.02,9.11,3.53,48.03,,,,29369702688.48
ROTO,0.23,7.64,30.28,2.87,3.07,,,,588081846.0
RREI,0.08,1.53,36.21,1.42,5.11,,,,941248000.0
SAUD,5.49,18.55,2.8,0.77,29.58,,,,16004332251.3
SCEM,8.77,17.16,14.35,2.9,51.09,,,,15346206146.68
SKPC,2.1,8.42,10.22,2.54,24.92,,,,16556400000.0
SUGR,24.77,26.62,5.69,2.96,93.05,,,,7038804712.5
SWDY,3.69,4.91,9.69,2.73,75.02,,,,185605441849.2
TMGH,5.26,35.62,7.76,1.56,14.78,,,,195143913534.2
UEGC,0.16,1.82,2.85,0.55,8.74,,,,986315091.6
ZMID,0.82,2.13,4.7,1.7,38.53,,,,5890000000.0
