ticker,name,confidence,verify,ir_url,candidate_2,candidate_3
ABUK,Abou Kir Fertilizers,high,Y,https://abuqir.net/investor-relations/,,
ADIB,Abu Dhabi Islamic Bank Egypt,high,Y,https://www.adib.eg/investor-relations,,
CCAP,Qalaa Holdings,high,Y,https://ir.qalaaholdings.com/,,
CIEB,Crédit Agricole Egypt,high,Y,https://www.ca-egypt.com/en/investor-relation/,,
CIRA,Cairo for Investment & Real Estate,high,Y,https://cira.com.eg/en,,
CLHO,Cleopatra Hospital,high,Y,https://cleopatrahospitals.com/en/investors/,,
COMI,Commercial International Bank,high,Y,https://www.cibeg.com/en/investor-relations,,
DOMT,Domty,high,Y,https://www.domty.org/en/content/investor-relations,,
EAST,Eastern Company,high,Y,https://www.easternegypt.com/investment-2/?lang=en,,
EFID,Edita Food Industries,high,Y,https://ir.edita.com.eg/,,
EFIH,EFG Holding,high,Y,https://efgholding.com/en/investor-relations,,
EGTS,Egyptian Resorts Company,high,Y,http://ir.erc-egypt.com/,,
EIPI,EIPICO,medium,,https://www.eipico.com.eg/HTML.aspx?name=Eipico3_InvestorRelations,,
EMFD,Emaar Misr for Development,high,Y,https://www.emaarmisr.com/about-emaar/investor-relations/,,
ESRS,Ezz Steel,high,Y,https://www.ezzsteel.com/investor-relations/ezz-steel-co-s-a-e,,
ETEL,Telecom Egypt,high,Y,https://ir.te.eg/,,
FAIT,Faisal Islamic Bank of Egypt,high,Y,https://www.faisalbank.com.eg/en/Investor-Relations,,
FWRY,Fawry for Banking Technology,high,Y,https://www.fawry.com/investor-relations/,,
HDBK,Housing & Development Bank,high,Y,https://ir.hdb-egy.com/,,
HELI,Heliopolis Housing,medium,,https://hhd.com.eg/,,
HRHO,EFG Hermes Holding,high,Y,https://efgholding.com/en/investor-relations,,
IDHC,Integrated Diagnostics Holdings,high,Y,https://investors.idhcorp.com/,,
JUFO,Juhayna Food Industries,high,Y,https://www.juhayna.com/investor-home/,,
MFPC,Misr Fertilizers Production (MOPCO),high,Y,https://www.mopco-eg.com/en/investor-relation,,
MNHD,Madinet Nasr Housing & Development,high,Y,https://ir.madinetmasr.com/,,
MTIE,MM Group for Industry & Trade,high,Y,https://www.mti-mmgroup.com/investor/,,
ORHD,Orascom Development Egypt,high,Y,https://www.orascomde.com/investor-relations,,
ORWE,Oriental Weavers,high,Y,https://ir.orientalweavers.com/,,
PHDC,Palm Hills Developments,high,Y,https://ir.palmhillsdevelopments.com/,,
SODIC,Sixth of October Development (SODIC),high,Y,https://ir.sodic.com/,,
SWDY,Elsewedy Electric,high,Y,https://ir.elsewedyelectric.com/,,
TMGH,Talaat Moustafa Group,high,Y,https://talaatmoustafa.com/investor-relations/,,
